seed,test_acc,hours,avg_watts,energy_Wh,avg_mem_GB,peak_mem_GB,avg_gpu_util_pct,avg_mem_util_pct
1,0.8403,0.8881197649166602,152.1333966656181,135.11267648264177,2.8337846385791416,3.171466827392578,99.93472790185594,32.05709342560554
2,0.841,0.8985552801388904,148.85643665474893,133.75573713878492,2.928682163309091,3.3447914123535156,99.95771801647754,31.705736048499922
3,0.8434,0.8924303206111007,149.9709229926436,133.83859888866763,2.8298091461520776,2.8398895263671875,99.95210518077947,31.687901079981216
4,0.8415,0.8907618918055474,150.22411149443312,133.81391374958872,2.8268100235442373,2.8337860107421875,99.95671946056139,31.664419005802102
5,0.8382,0.8958449372499955,150.8323812568221,135.12242512228516,2.962050029422124,3.550647735595703,99.96039295181662,31.831903945111492
