epoch,x_label,phase,layer,mem_mib
7,bwd-L8,bwd,8,2455.219
7,bwd-L7,bwd,7,2165.123
7,bwd-L6,bwd,6,1875.027
7,bwd-L5,bwd,5,1584.931
7,bwd-L4,bwd,4,1294.834
7,bwd-L3,bwd,3,1004.738
7,bwd-L2,bwd,2,714.642
7,bwd-L1,bwd,1,424.546
8,fwd-L1,fwd,1,335.769
8,fwd-L2,fwd,2,621.705
8,fwd-L3,fwd,3,904.124
8,fwd-L4,fwd,4,1186.543
8,fwd-L5,fwd,5,1468.962
8,fwd-L6,fwd,6,1751.382
8,fwd-L7,fwd,7,2033.801
8,fwd-L8,fwd,8,2316.220
8,fwd-L9,fwd,9,2598.639
8,fwd-L10,fwd,10,2881.058
8,fwd-L11,fwd,11,3163.478
8,fwd-L12,fwd,12,3445.897
8,bwd-L12,bwd,12,3614.729
8,bwd-L11,bwd,11,3325.508
8,bwd-L10,bwd,10,3035.412
8,bwd-L9,bwd,9,2745.315
8,bwd-L8,bwd,8,2455.219
8,bwd-L7,bwd,7,2165.123
8,bwd-L6,bwd,6,1875.027
8,bwd-L5,bwd,5,1584.931
8,bwd-L4,bwd,4,1294.834
8,bwd-L3,bwd,3,1004.738
8,bwd-L2,bwd,2,714.642
8,bwd-L1,bwd,1,424.546
9,fwd-L1,fwd,1,335.769
9,fwd-L2,fwd,2,621.705
9,fwd-L3,fwd,3,904.124
9,fwd-L4,fwd,4,1186.543
9,fwd-L5,fwd,5,1468.962
9,fwd-L6,fwd,6,1751.382
9,fwd-L7,fwd,7,2033.801
9,fwd-L8,fwd,8,2316.220
9,fwd-L9,fwd,9,2598.639
9,fwd-L10,fwd,10,2881.058
9,fwd-L11,fwd,11,3163.478
9,fwd-L12,fwd,12,3445.897
9,bwd-L12,bwd,12,3614.729
9,bwd-L11,bwd,11,3325.508
9,bwd-L10,bwd,10,3035.412
9,bwd-L9,bwd,9,2745.315
9,bwd-L8,bwd,8,2455.219
9,bwd-L7,bwd,7,2165.123
9,bwd-L6,bwd,6,1875.027
9,bwd-L5,bwd,5,1584.931
9,bwd-L4,bwd,4,1294.834
